MAPPED_TRAIT,NLP_TERM,NLP_MESH_ID
BACH1/DIABLO protein level ratio in blood,BACH1/DIABLO,
EIF4G1/NFATC1 protein level ratio in blood,EIF4G1/NFATC1 protein,
level of period circadian protein homolog 3 in blood,level,D000082162
cholesterol in small VLDL measurement ,cholesterol,D002784
APRT/NSFL1C protein level ratio in blood,APRT/NSFL1C protein,
cholesterol to total lipids in large VLDL percentage ,cholesterol,D002784
diastolic blood pressure change measurement,diastolic blood pressure change,
"aspartate aminotransferase measurement, low density lipoprotein triglyceride measurement, serum alanine aminotransferase amount, body fat percentage, high density lipoprotein cholesterol measurement, sex hormone-binding globulin measurement",aspartate aminotransferase,D024443
EGLN1/PSIP1 protein level ratio in blood,EGLN1/PSIP1 protein,
"total cholesterol measurement, diastolic blood pressure, triglyceride measurement, systolic blood pressure, hematocrit, ventricular rate measurement, glucose measurement, body mass index, high density lipoprotein cholesterol measurement",total cholesterol measurement,
receptor tyrosine-protein kinase erbb-3 measurement,receptor tyrosine-protein kinase erbb-3,
FYB1/GP6 protein level ratio in blood,FYB1/GP6 protein,
"non-alcoholic fatty liver disease, cirrhosis of liver",non-alcoholic fatty liver disease,D065626
EGLN1/FOXO1 protein level ratio in blood,EGLN1/FOXO1 protein,
DFFA/HPCAL1 protein level ratio in blood,DFFA/HPCAL1 protein,
apolipoprotein B to apolipoprotein A1 ratio ,apolipoprotein B,D053299
synaptosomal-associated protein 29 measurement,synaptosomal-associated protein,D050825
CDH17/SPINT1 protein level ratio in blood,CDH17/SPINT1 protein,
"low density lipoprotein cholesterol measurement, physical activity",low density lipoprotein cholesterol measurement,
CC2D1A/CDKN1A protein level ratio in blood,CC2D1A/CDKN1A protein,
FAM3B/TMPRSS15 protein level ratio in blood,FAM3B/TMPRSS15 protein,
FMNL1/PADI4 protein level ratio in blood,FMNL1/PADI4 protein,
CLEC14A/EPHB4 protein level ratio in blood,CLEC14A/EPHB4 protein,
EDAR/ERBIN protein level ratio in blood,EDAR/ERBIN protein,
Fc receptor-like protein 5 measurement,measurement,D054791
"childhood onset asthma, age at onset, environmental tobacco smoke exposure measurement",age,D000099087
gut microbiome measurement,gut microbiome,
HCLS1/LAT protein level ratio in blood,HCLS1/LAT protein,
MANF/SDC4 protein level ratio in blood,MANF/SDC4 protein,
"attention deficit hyperactivity disorder, obsessive-compulsive symptom measurement, type 2 diabetes mellitus, major depressive disorder",attention,D001288
F2R/GP6 protein level ratio in blood,F2R/GP6 protein,
cholesterol in IDL measurement ,cholesterol,D002784
MAP4K5/TXLNA protein level ratio in blood,MAP4K5/TXLNA protein,
level of Thy-1 membrane glycoprotein in blood,level,D000082162
cholesteryl esters to total lipids in very large VLDL percentage ,cholesteryl esters,
treatment-resistant hypertension,treatment-resistant hypertension,
total lipids in medium LDL,lipids,D008055
"body mass index, blood insulin amount",body mass index,D015992
ELOA/SRP14 protein level ratio in blood,ELOA/SRP14 protein,
cholesterol to total lipids in small VLDL percentage ,cholesterol,D002784
MAP4K5/STAT5B protein level ratio in blood,MAP4K5/STAT5B protein,
CASP3/SERPINE1 protein level ratio in blood,CASP3/SERPINE1 protein,
DKK1/LGALS8 protein level ratio in blood,DKK1/LGALS8 protein,
"major depressive episode, attention deficit hyperactivity disorder, anorexia nervosa, obesity",depressive episode,
DKK1/VASH1 protein level ratio in blood,DKK1/VASH1 protein,
level of specifically androgen-regulated gene protein in blood,level,D000082162
KLRB1/KLRD1 protein level ratio in blood,KLRB1/KLRD1 protein,
cholesterol to total lipids in large LDL percentage ,cholesterol,D002784
"low density lipoprotein cholesterol measurement, body mass index",low density lipoprotein cholesterol measurement,
DKK1/MGLL protein level ratio in blood,DKK1/MGLL protein,
"response to diuretic, high density lipoprotein cholesterol measurement",response,D061745
"low density lipoprotein cholesterol measurement, alcohol consumption quality",low density lipoprotein cholesterol measurement,
P-selectin glycoprotein ligand 1 measurement,P-selectin glycoprotein,
MAVS/TBL1X protein level ratio in blood,protein level,
cholesteryl esters to total lipids in IDL percentage ,cholesteryl esters,
CD74/LILRB4 protein level ratio in blood,CD74/LILRB4 protein,
level of synaptosomal-associated protein 23 in blood serum,level,D000082162
MAVS/SH2B3 protein level ratio in blood,MAVS/SH2B3 protein,
free cholesterol in medium VLDL measurement ,free cholesterol,
FAM3B/GPA33 protein level ratio in blood,FAM3B/GPA33 protein,
CCT5/CHAC2 protein level ratio in blood,CCT5/CHAC2 protein,
signal-regulatory protein beta-1 measurement,signal-regulatory protein beta-1,
CASP3/SNAP23 protein level ratio in blood,CASP3/SNAP23 protein,
EDAR/IRAK4 protein level ratio in blood,EDAR/IRAK4 protein,
"inflammatory biomarker measurement, diet measurement",inflammatory,D000893
DFFA/PRDX5 protein level ratio in blood,DFFA/PRDX5 protein,
CDH17/PECAM1 protein level ratio in blood,CDH17/PECAM1 protein,
"obsessive-compulsive disorder, major depressive episode, attention deficit hyperactivity disorder, schizophrenia, anorexia nervosa, obesity",obsessive-compulsive disorder,D009771
EDAR/IPCEF1 protein level ratio in blood,EDAR/IPCEF1 protein,
phospholipids in very small VLDL measurement ,phospholipids,D010743
"alcohol consumption quality, alcohol drinking",alcohol consumption quality,
phospholipids in medium VLDL measurement,phospholipids,D010743
"forced expiratory volume, environmental tobacco smoke exposure measurement",forced,D005540
EDAR/LAT2 protein level ratio in blood,EDAR/LAT2 protein,
BCR/FOXO1 protein level ratio in blood,BCR/FOXO1 protein,
"schizophrenia, obesity",schizophrenia,D012559
CXCL3/CXCL5 protein level ratio in blood,CXCL3/CXCL5 protein,
cholesteryl esters to total lipids in chylomicrons and extremely large VLDL percentage ,cholesteryl esters,
NCF2/PADI4 protein level ratio in blood,NCF2/PADI4 protein,
level of mitochondrial fission 1 protein in blood,level,D000082162
